# Source: Semrush, US database, measured 2026-09-01.
# Licence basis: Semrush ToS s3.2 -- use "solely for your own internal business
# purposes". NOT FOR REDISTRIBUTION. This repository is private; do not publish
# these rows, attach them to anything shared outside Sunreef, or feed the
# metrics to a language model (ToS s3.3(r) forbids Semrush outputs as LLM
# inputs -- keyword phrases may enter prompts, figures may not).
# CPC and SERP Features columns were stripped 2026-09-02: highest-sensitivity
# fields, never read by any code here.
Keyword,Intent,Volume,Keyword Difficulty
what is a catamaran,Informational,1900,25
power catamaran,"Informational, Commercial",1600,28
catamaran club,Informational,1000,20
small catamaran,Informational,880,26
beach catamaran,Informational,720,23
catamaran park,"Informational, Transactional",720,10
luxury catamaran,Informational,720,29
catamaran fishing boats,Informational,590,22
monohull,Informational,590,11
sunset catamaran cruise,Informational,590,15
50 foot catamaran,Informational,480,23
50 ft catamaran,Informational,480,20
caribbean catamaran charter,Informational,480,26
catamaran sunset cruise,Informational,480,28
family catamaran vacations,Informational,480,15
makani catamaran sail,Informational,480,29
semi-displacement catamaran bow design,Informational,480,1
small catamaran boat,Informational,480,14
solar catamaran,Informational,480,23
solar powered catamaran,"Informational, Transactional",480,21
what is a characteristic of a catamaran hull,Informational,480,6
whats a catamaran,Informational,480,21
40 foot catamaran,Informational,390,19
40 ft catamaran,Informational,390,18
bvi catamaran charter with captain,Informational,390,27
caribbean catamaran charter for two,Informational,390,15
catamaran center console,"Informational, Commercial",390,22
catamaran charter caribbean,Informational,390,29
catamaran cruise caribbean,Informational,390,14
catamaran french polynesia,Informational,390,12
catamaran hull,Informational,390,14
catamaran insurance,Informational,390,7
catamaran interior,Informational,390,19
catamaran speed boat,Informational,390,26
electric catamaran,Informational,390,20
large catamaran,Informational,390,24
racing catamaran,Informational,390,24
small catamaran power boats,Informational,390,8
60 foot catamaran,Informational,320,7
big catamaran,Informational,320,21
blow up catamaran,"Informational, Transactional",320,4
catamaran cost,"Informational, Commercial",320,20
catamaran greece,Informational,320,8
catamaran motor boat,Informational,320,29
catamaran paddle board,Informational,320,0
catamaran small,Informational,320,25
catamaran tours punta cana,Informational,320,19
catamaran yacht charter croatia,Informational,320,27
center console catamaran,Informational,320,20
interior catamaran,Informational,320,15
small catamaran sailboat,Informational,320,20
