# Source: Semrush, US database, measured 2026-09-01.
# Licence basis: Semrush ToS s3.2 -- use "solely for your own internal business
# purposes". NOT FOR REDISTRIBUTION. Do not publish these rows or attach them
# to anything shared outside Sunreef. ToS s3.3(r) forbids Semrush outputs as
# LLM inputs: keyword phrases may enter prompts, figures may not.
keyword,monthly_volume,difficulty,intent,database,measured_at
what is a catamaran,1900,25,informational,us,2026-09-01
power catamaran,1600,28,"commercial, informational",us,2026-09-01
luxury catamaran,720,29,informational,us,2026-09-01
monohull,590,11,informational,us,2026-09-01
catamaran fishing boats,590,22,informational,us,2026-09-01
semi-displacement catamaran bow design,480,1,informational,us,2026-09-01
what is a characteristic of a catamaran hull,480,6,informational,us,2026-09-01
50 ft catamaran,480,20,informational,us,2026-09-01
50 foot catamaran,480,23,informational,us,2026-09-01
solar catamaran,480,23,informational,us,2026-09-01
caribbean catamaran charter,480,26,informational,us,2026-09-01
catamaran insurance,390,7,informational,us,2026-09-01
catamaran french polynesia,390,12,informational,us,2026-09-01
catamaran hull,390,14,informational,us,2026-09-01
caribbean catamaran charter for two,390,15,informational,us,2026-09-01
40 ft catamaran,390,18,informational,us,2026-09-01
40 foot catamaran,390,19,informational,us,2026-09-01
catamaran interior,390,19,informational,us,2026-09-01
electric catamaran,390,20,informational,us,2026-09-01
catamaran center console,390,22,"commercial, informational",us,2026-09-01
large catamaran,390,24,informational,us,2026-09-01
catamaran speed boat,390,26,informational,us,2026-09-01
bvi catamaran charter with captain,390,27,informational,us,2026-09-01
catamaran charter caribbean,390,29,informational,us,2026-09-01
60 foot catamaran,320,7,informational,us,2026-09-01
catamaran greece,320,8,informational,us,2026-09-01
interior catamaran,320,15,informational,us,2026-09-01
catamaran cost,320,20,"commercial, informational",us,2026-09-01
center console catamaran,320,20,informational,us,2026-09-01
big catamaran,320,21,informational,us,2026-09-01
what is catamaran,320,26,informational,us,2026-09-01
catamaran yacht charter croatia,320,27,informational,us,2026-09-01
catamaran motor boat,320,29,informational,us,2026-09-01
how to finance a catamaran,260,3,informational,us,2026-09-01
catamaran yacht charter greece,260,4,informational,us,2026-09-01
catamaran news,260,11,informational,us,2026-09-01
trimaran vs catamaran,260,12,informational,us,2026-09-01
catamaran how to sail,260,13,informational,us,2026-09-01
80 foot catamaran,260,14,informational,us,2026-09-01
crewed catamaran charter,260,14,informational,us,2026-09-01
60 ft catamaran,260,15,informational,us,2026-09-01
largest catamaran,260,15,informational,us,2026-09-01
how much does a catamaran cost,260,16,informational,us,2026-09-01
boat multihull,260,20,"commercial, informational",us,2026-09-01
bvi catamaran charters all-inclusive,260,23,informational,us,2026-09-01
hull catamaran,260,23,informational,us,2026-09-01
